# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-27 20:54:52 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204309906 CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204309906
#            TS   parameter     Description
#        147316       00065     Gage height, feet, Left Culvert, [Left culvert]
#        147318       00010     Temperature, water, degrees Celsius
#        147319       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        147320       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#        147321       99234     Count of samples collected by autosampler, number
#        147329       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	147316_00065	147316_00065_cd	147318_00010	147318_00010_cd	147319_00095	147319_00095_cd	147320_63680	147320_63680_cd	147321_99234	147321_99234_cd	147329_00060	147329_00060_cd
USGS	0204309906	2019-04-20 03:35	EDT	0.48	P	19.7	P	85	P	13.0	P	6	P	5.28	P
USGS	0204309906	2019-04-20 03:40	EDT	0.46	P	19.7	P	73	P	11.3	P	6	P	4.80	P
USGS	0204309906	2019-04-20 03:45	EDT	0.45	P	19.6	P	77	P	10.0	P	6	P	4.56	P
USGS	0204309906	2019-04-20 03:50	EDT	0.44	P	19.6	P	85	P	8.6	P	6	P	4.33	P
USGS	0204309906	2019-04-20 03:55	EDT	0.44	P	19.5	P	92	P	9.6	P	6	P	4.33	P
USGS	0204309906	2019-04-20 04:00	EDT	0.43	P	19.5	P	94	P	8.6	P	6	P	4.11	P
USGS	0204309906	2019-04-20 04:05	EDT	0.42	P	19.5	P	95	P	9.0	P	6	P	3.89	P
USGS	0204309906	2019-04-20 04:10	EDT	0.41	P	19.5	P	96	P	7.1	P	6	P	3.68	P
USGS	0204309906	2019-04-20 04:15	EDT	0.40	P	19.5	P	97	P	8.1	P	6	P	3.48	P
USGS	0204309906	2019-04-20 04:20	EDT	0.40	P	19.5	P	97	P	7.1	P	6	P	3.48	P
USGS	0204309906	2019-04-20 04:25	EDT	0.39	P	19.5	P	98	P	7.0	P	6	P	3.29	P
USGS	0204309906	2019-04-20 04:30	EDT	0.39	P	19.5	P	98	P	6.9	P	6	P	3.29	P
USGS	0204309906	2019-04-20 04:35	EDT	0.38	P	19.5	P	98	P	6.5	P	6	P	3.10	P
USGS	0204309906	2019-04-20 04:40	EDT	0.37	P	19.5	P	98	P	7.0	P	6	P	2.91	P
USGS	0204309906	2019-04-20 04:45	EDT	0.37	P	19.5	P	98	P	6.7	P	6	P	2.91	P
USGS	0204309906	2019-04-20 04:50	EDT	0.37	P	19.5	P	98	P	6.9	P	6	P	2.91	P
USGS	0204309906	2019-04-20 04:55	EDT	0.41	P	19.6	P	100	P	15.7	P	6	P	3.68	P
USGS	0204309906	2019-04-20 05:00	EDT	0.57	P	19.8	P	76	P	28.1	P	7	P	7.69	P
USGS	0204309906	2019-04-20 05:05	EDT	0.69	P	19.9	P	68	P	276	P	7	P	11.4	P
USGS	0204309906	2019-04-20 05:10	EDT	0.70	P	20.0	P	58	P	41.8	P	7	P	11.8	P
USGS	0204309906	2019-04-20 05:15	EDT	0.68	P	20.0	P	52	P	33.7	P	7	P	11.1	P
USGS	0204309906	2019-04-20 05:20	EDT	0.66	P	20.0	P	58	P	32.6	P	8	P	10.4	P
USGS	0204309906	2019-04-20 05:25	EDT	0.64	P	19.9	P	66	P	33.0	P	8	P	9.78	P
USGS	0204309906	2019-04-20 05:30	EDT	0.62	P	19.9	P	66	P	34.5	P	8	P	9.16	P
USGS	0204309906	2019-04-20 05:35	EDT	0.61	P	19.9	P	65	P	18.9	P	8	P	8.85	P
USGS	0204309906	2019-04-20 05:40	EDT	0.59	P	19.9	P	64	P	23.9	P	9	P	8.26	P
USGS	0204309906	2019-04-20 05:45	EDT	0.57	P	19.8	P	62	P	23.9	P	9	P	7.69	P
USGS	0204309906	2019-04-20 05:50	EDT	0.56	P	19.8	P	60	P	30.7	P	9	P	7.41	P
USGS	0204309906	2019-04-20 05:55	EDT	0.54	P	19.8	P	57	P	17.1	P	9	P	6.87	P
USGS	0204309906	2019-04-20 06:00	EDT	0.53	P	19.8	P	55	P	15.7	P	10	P	6.59	P
USGS	0204309906	2019-04-20 06:05	EDT	0.52	P	19.8	P	54	P	15.3	P	10	P	6.32	P
USGS	0204309906	2019-04-20 06:10	EDT	0.51	P	19.8	P	54	P	13.5	P	10	P	6.05	P
USGS	0204309906	2019-04-20 06:15	EDT	0.49	P	19.8	P	54	P	12.2	P	10	P	5.53	P
USGS	0204309906	2019-04-20 06:20	EDT	0.49	P	19.8	P	55	P	11.2	P	10	P	5.53	P
USGS	0204309906	2019-04-20 06:25	EDT	0.48	P	19.7	P	57	P	16.6	P	10	P	5.28	P
USGS	0204309906	2019-04-20 06:30	EDT	0.48	P	19.7	P	59	P	13.5	P	10	P	5.28	P
USGS	0204309906	2019-04-20 06:35	EDT	0.48	P	19.6	P	60	P	10.6	P	10	P	5.28	P
USGS	0204309906	2019-04-20 06:40	EDT	0.47	P	19.6	P	63	P	10.9	P	10	P	5.04	P
USGS	0204309906	2019-04-20 06:45	EDT	0.46	P	19.6	P	66	P	10.4	P	10	P	4.80	P
USGS	0204309906	2019-04-20 06:50	EDT	0.45	P	19.6	P	67	P	9.8	P	10	P	4.56	P
USGS	0204309906	2019-04-20 06:55	EDT	0.44	P	19.6	P	68	P	11.9	P	10	P	4.33	P
USGS	0204309906	2019-04-20 07:00	EDT	0.44	P	19.6	P	69	P	10.4	P	10	P	4.33	P
USGS	0204309906	2019-04-20 07:05	EDT	0.43	P	19.6	P	70	P	9.1	P	10	P	4.11	P
USGS	0204309906	2019-04-20 07:10	EDT	0.42	P	19.5	P	71	P	8.1	P	10	P	3.89	P
USGS	0204309906	2019-04-20 07:15	EDT	0.41	P	19.5	P	72	P	8.8	P	10	P	3.68	P
USGS	0204309906	2019-04-20 07:20	EDT	0.40	P	19.5	P	72	P	9.0	P	10	P	3.48	P
USGS	0204309906	2019-04-20 07:25	EDT	0.39	P	19.5	P	72	P	8.7	P	10	P	3.29	P
USGS	0204309906	2019-04-20 07:30	EDT	0.39	P	19.5	P	72	P	8.7	P	10	P	3.29	P
USGS	0204309906	2019-04-20 07:35	EDT	0.38	P	19.5	P	72	P	8.5	P	10	P	3.10	P
USGS	0204309906	2019-04-20 07:40	EDT	0.37	P	19.5	P	73	P	8.2	P	10	P	2.91	P
USGS	0204309906	2019-04-20 07:45	EDT	0.37	P	19.5	P	74	P	8.4	P	10	P	2.91	P
USGS	0204309906	2019-04-20 07:50	EDT	0.37	P	19.5	P	75	P	8.7	P	10	P	2.91	P
USGS	0204309906	2019-04-20 07:55	EDT	0.36	P	19.4	P	75	P	8.9	P	10	P	2.73	P
USGS	0204309906	2019-04-20 08:00	EDT	0.36	P	19.4	P	76	P	9.8	P	10	P	2.73	P
USGS	0204309906	2019-04-20 08:05	EDT	0.35	P	19.4	P	71	P	8.9	P	10	P	2.56	P
USGS	0204309906	2019-04-20 08:10	EDT	0.35	P	19.4	P	71	P	8.8	P	10	P	2.56	P
USGS	0204309906	2019-04-20 08:15	EDT	0.35	P	19.4	P	70	P	9.0	P	10	P	2.56	P
USGS	0204309906	2019-04-20 08:20	EDT	0.34	P	19.4	P	70	P	8.5	P	10	P	2.40	P
USGS	0204309906	2019-04-20 08:25	EDT	0.34	P	19.4	P	70	P	8.7	P	10	P	2.40	P
USGS	0204309906	2019-04-20 08:30	EDT	0.34	P	19.4	P	70	P	8.5	P	10	P	2.40	P
USGS	0204309906	2019-04-20 08:35	EDT	0.33	P	19.3	P	70	P	8.8	P	10	P	2.22	P
USGS	0204309906	2019-04-20 08:40	EDT	0.33	P	19.3	P	71	P	9.1	P	10	P	2.22	P
USGS	0204309906	2019-04-20 08:45	EDT	0.33	P	19.3	P	72	P	8.8	P	10	P	2.22	P
USGS	0204309906	2019-04-20 08:50	EDT	0.33	P	19.3	P	73	P	9.4	P	10	P	2.22	P
USGS	0204309906	2019-04-20 08:55	EDT	0.32	P	19.3	P	75	P	8.5	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:00	EDT	0.32	P	19.3	P	77	P	9.1	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:05	EDT	0.32	P	19.2	P	79	P	9.6	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:10	EDT	0.32	P	19.2	P	82	P	9.5	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:15	EDT	0.32	P	19.2	P	85	P	8.9	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:20	EDT	0.31	P	19.2	P	87	P	9.8	P	10	P	1.87	P
USGS	0204309906	2019-04-20 09:25	EDT	0.32	P	19.2	P	90	P	8.9	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:30	EDT	0.32	P	19.1	P	93	P	8.8	P	10	P	2.04	P
USGS	0204309906	2019-04-20 09:35	EDT	0.32	P	19.1	P	96	P			10	P	2.04	P
USGS	0204309906	2019-04-20 09:40	EDT	0.31	P	19.1	P	99	P			10	P	1.87	P
USGS	0204309906	2019-04-20 09:45	EDT	0.31	P	19.1	P	102	P			10	P	1.87	P
USGS	0204309906	2019-04-20 09:50	EDT	0.31	P	19.1	P	104	P			10	P	1.87	P
USGS	0204309906	2019-04-20 09:55	EDT	0.31	P	19.1	P	107	P	9.3	P	10	P	1.87	P
USGS	0204309906	2019-04-20 10:00	EDT	0.31	P	19.0	P	109	P			10	P	1.87	P
USGS	0204309906	2019-04-20 10:05	EDT	0.31	P	19.0	P	112	P	9.3	P	10	P	1.87	P
USGS	0204309906	2019-04-20 10:10	EDT	0.31	P	19.0	P	114	P			10	P	1.87	P
USGS	0204309906	2019-04-20 10:15	EDT	0.31	P	19.0	P	116	P	10.0	P	10	P	1.87	P
USGS	0204309906	2019-04-20 10:20	EDT	0.30	P	19.0	P	119	P			10	P	1.71	P
USGS	0204309906	2019-04-20 10:25	EDT	0.30	P	19.0	P	121	P	9.8	P	10	P	1.71	P
USGS	0204309906	2019-04-20 10:30	EDT	0.30	P	19.0	P	122	P			10	P	1.71	P
USGS	0204309906	2019-04-20 10:35	EDT	0.30	P	19.0	P	124	P			10	P	1.71	P
USGS	0204309906	2019-04-20 10:40	EDT	0.30	P	19.0	P	126	P			10	P	1.71	P
USGS	0204309906	2019-04-20 10:45	EDT	0.30	P	19.0	P	127	P	9.3	P	10	P	1.71	P
USGS	0204309906	2019-04-20 10:50	EDT	0.30	P	19.0	P	129	P	10.1	P	10	P	1.71	P
USGS	0204309906	2019-04-20 10:55	EDT	0.29	P	19.0	P	131	P	9.8	P	0	P	1.56	P
USGS	0204309906	2019-04-20 11:00	EDT	0.30	P	19.0	P	134	P	9.9	P	0	P	1.71	P
USGS	0204309906	2019-04-20 11:05	EDT	0.29	P	19.0	P	156	P			0	P	1.56	P
USGS	0204309906	2019-04-20 11:10	EDT	0.30	P	19.0	P	157	P	8.6	P	0	P	1.71	P
USGS	0204309906	2019-04-20 11:15	EDT	0.29	P	19.0	P	159	P			0	P	1.56	P
USGS	0204309906	2019-04-20 11:20	EDT	0.30	P	19.0	P	163	P	10.0	P	0	P	1.71	P
USGS	0204309906	2019-04-20 11:25	EDT	0.30	P	19.0	P	166	P	9.0	P	0	P	1.71	P
USGS	0204309906	2019-04-20 11:30	EDT	0.30	P	19.0	P	170	P			0	P	1.71	P
USGS	0204309906	2019-04-20 11:35	EDT	0.29	P	19.0	P	172	P	9.5	P	0	P	1.56	P
USGS	0204309906	2019-04-20 11:40	EDT	0.29	P	19.1	P	173	P	9.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 11:45	EDT	0.29	P	19.1	P	174	P			0	P	1.56	P
USGS	0204309906	2019-04-20 11:50	EDT	0.29	P	19.1	P	175	P	9.9	P	0	P	1.56	P
USGS	0204309906	2019-04-20 11:55	EDT	0.29	P	19.2	P	175	P	10.2	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:00	EDT	0.29	P	19.2	P	175	P			0	P	1.56	P
USGS	0204309906	2019-04-20 12:05	EDT	0.29	P	19.2	P	176	P	8.5	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:10	EDT	0.29	P	19.3	P	177	P	10.0	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:15	EDT	0.29	P	19.3	P	177	P	8.0	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:20	EDT	0.29	P	19.4	P	178	P	7.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:25	EDT	0.29	P	19.4	P	179	P	8.2	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:30	EDT	0.29	P	19.5	P	180	P	9.5	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:35	EDT	0.29	P	19.6	P	181	P	7.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:40	EDT	0.29	P	19.6	P	183	P	9.2	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:45	EDT	0.29	P	19.7	P	185	P	9.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:50	EDT	0.29	P	19.7	P	186	P	8.1	P	0	P	1.56	P
USGS	0204309906	2019-04-20 12:55	EDT	0.29	P	19.8	P	187	P	9.2	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:00	EDT	0.29	P	19.8	P	188	P	9.6	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:05	EDT	0.29	P	19.9	P	188	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:10	EDT	0.29	P	19.9	P	188	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:15	EDT	0.29	P	19.9	P	188	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:20	EDT	0.29	P	19.9	P	188	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:25	EDT	0.29	P	20.0	P	190	P	9.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:30	EDT	0.29	P	20.0	P	189	P	8.6	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:35	EDT	0.29	P	20.0	P	189	P	9.1	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:40	EDT	0.29	P	20.0	P	189	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:45	EDT	0.29	P	20.1	P	190	P	8.7	P	0	P	1.56	P
USGS	0204309906	2019-04-20 13:50	EDT	0.29	P	20.1	P	190	P			0	P	1.56	P
USGS	0204309906	2019-04-20 13:55	EDT	0.28	P	20.1	P	190	P			0	P	1.42	P
USGS	0204309906	2019-04-20 14:00	EDT	0.28	P	20.2	P	190	P	8.6	P	0	P	1.42	P
USGS	0204309906	2019-04-20 14:05	EDT	0.28	P	20.2	P	192	P			0	P	1.42	P
USGS	0204309906	2019-04-20 14:10	EDT	0.28	P	20.2	P	192	P	8.8	P	0	P	1.42	P
USGS	0204309906	2019-04-20 14:15	EDT	0.28	P	20.3	P	192	P			0	P	1.42	P
USGS	0204309906	2019-04-20 14:20	EDT	0.27	P	20.3	P	192	P			0	P	1.29	P
USGS	0204309906	2019-04-20 14:25	EDT	0.27	P	20.3	P	191	P	9.9	P	0	P	1.29	P
USGS	0204309906	2019-04-20 14:30	EDT	0.27	P	20.4	P	191	P			0	P	1.29	P
USGS	0204309906	2019-04-20 14:35	EDT	0.27	P	20.4	P	191	P			0	P	1.29	P
USGS	0204309906	2019-04-20 14:40	EDT	0.27	P	20.4	P	191	P	10.1	P	0	P	1.29	P
USGS	0204309906	2019-04-20 14:45	EDT	0.27	P	20.4	P	192	P			0	P	1.29	P
USGS	0204309906	2019-04-20 14:50	EDT	0.27	P	20.3	P	192	P			0	P	1.29	P
USGS	0204309906	2019-04-20 14:55	EDT	0.26	P	20.3	P	191	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:00	EDT	0.26	P	20.3	P	191	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:05	EDT	0.26	P	20.3	P	191	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:10	EDT	0.26	P	20.3	P	191	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:15	EDT	0.26	P	20.2	P	191	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:20	EDT	0.26	P	20.2	P	193	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:25	EDT	0.26	P	20.2	P	195	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:30	EDT	0.26	P	20.2	P	197	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:35	EDT	0.27	P	20.2	P	198	P			0	P	1.29	P
USGS	0204309906	2019-04-20 15:40	EDT	0.26	P	20.2	P	198	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:45	EDT	0.26	P	20.2	P	198	P			0	P	1.16	P
USGS	0204309906	2019-04-20 15:50	EDT	0.27	P	20.2	P	199	P			0	P	1.29	P
USGS	0204309906	2019-04-20 15:55	EDT	0.27	P	20.2	P	199	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:00	EDT	0.26	P	20.2	P	200	P			0	P	1.16	P
USGS	0204309906	2019-04-20 16:05	EDT	0.27	P	20.2	P	204	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:10	EDT	0.27	P	20.2	P	208	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:15	EDT	0.27	P	20.2	P	212	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:20	EDT	0.27	P	20.2	P	215	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:25	EDT	0.27	P	20.2	P	218	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:30	EDT	0.27	P	20.2	P	220	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:35	EDT	0.27	P	20.2	P	222	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:40	EDT	0.27	P	20.2	P	223	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:45	EDT	0.27	P	20.2	P	224	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:50	EDT	0.27	P	20.2	P	225	P			0	P	1.29	P
USGS	0204309906	2019-04-20 16:55	EDT	0.27	P	20.1	P	226	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:00	EDT	0.27	P	20.1	P	226	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:05	EDT	0.27	P	20.1	P	222	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:10	EDT	0.27	P	20.1	P	221	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:15	EDT	0.27	P	20.1	P	220	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:20	EDT	0.27	P	20.0	P	219	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:25	EDT	0.27	P	20.0	P	218	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:30	EDT	0.27	P	20.0	P	218	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:35	EDT	0.27	P	20.0	P	217	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:40	EDT	0.27	P	20.0	P	217	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:45	EDT	0.27	P	19.9	P	216	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:50	EDT	0.27	P	19.9	P	216	P			0	P	1.29	P
USGS	0204309906	2019-04-20 17:55	EDT	0.27	P	19.9	P	215	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:00	EDT	0.27	P	19.9	P	215	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:05	EDT	0.27	P	19.9	P	215	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:10	EDT	0.27	P	19.8	P	231	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:15	EDT	0.27	P	19.8	P	259	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:20	EDT	0.27	P	19.8	P	286	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:25	EDT	0.27	P	19.7	P	304	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:30	EDT	0.27	P	19.7	P	315	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:35	EDT	0.27	P	19.6	P	319	P			0	P	1.29	P
USGS	0204309906	2019-04-20 18:40	EDT	0.26	P	19.6	P	320	P			0	P	1.16	P
USGS	0204309906	2019-04-20 18:45	EDT	0.26	P	19.6	P	317	P			0	P	1.16	P
USGS	0204309906	2019-04-20 18:50	EDT	0.26	P	19.5	P	315	P			0	P	1.16	P
USGS	0204309906	2019-04-20 18:55	EDT	0.26	P	19.5	P	311	P			0	P	1.16	P
USGS	0204309906	2019-04-20 19:00	EDT	0.26	P	19.4	P	308	P			0	P	1.16	P
