# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-01 20:22:11 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204288539 BELLS MILL CRK AT BELLS MILL RD AT CHESAPEAKE, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204288539
#            TS   parameter     statistic     Description
#        145390       62620     00021     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal High (Daily))
#        145391       62620     00024     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal Low (Daily))
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	145390_62620_00021	145390_62620_00021_cd	145391_62620_00024	145391_62620_00024_cd
USGS	0204288539	2016-06-12	1.32	A	-1.33	A
USGS	0204288539	2016-06-13	1.85	A	-1.29	A
USGS	0204288539	2016-06-14				
USGS	0204288539	2016-06-15	1.68	A	-1.18	A
USGS	0204288539	2016-06-16	2.04	A	-1.21	A
USGS	0204288539	2016-06-17	2.65	A	-0.64	A
USGS	0204288539	2016-06-18	2.11	A	-0.78	A
USGS	0204288539	2016-06-19	1.64	A	-1.62	A
USGS	0204288539	2016-06-20	1.44	A	-1.91	A
USGS	0204288539	2016-06-21	1.83	A	-2.21	A
USGS	0204288539	2016-06-22	1.32	A	-2.10	A
USGS	0204288539	2016-06-23	1.74	A	-2.06	A
USGS	0204288539	2016-06-24	1.81	A	-1.69	A
USGS	0204288539	2016-06-25	2.12	A	-1.03	A
USGS	0204288539	2016-06-26	2.18	A	-1.08	A
USGS	0204288539	2016-06-27	1.76	A	-1.50	A
USGS	0204288539	2016-06-28	1.84	A	-1.63	A
USGS	0204288539	2016-06-29	2.01	A	-1.68	A
USGS	0204288539	2016-06-30	2.01	A	-1.77	A
USGS	0204288539	2016-07-01	2.27	A	-1.84	A
USGS	0204288539	2016-07-02	2.11	A	-1.08	A
USGS	0204288539	2016-07-03	2.23	A	-1.60	A
USGS	0204288539	2016-07-04	1.78	A	-1.93	A
USGS	0204288539	2016-07-05	1.94	A	-2.01	A
USGS	0204288539	2016-07-06	1.71	A	-1.76	A
USGS	0204288539	2016-07-07	2.04	A	-1.67	A
USGS	0204288539	2016-07-08	2.23	A	-1.61	A
USGS	0204288539	2016-07-09	2.22	A	-1.21	A
USGS	0204288539	2016-07-10	2.08	A	-0.63	A
USGS	0204288539	2016-07-11	1.74	A	-0.88	A
USGS	0204288539	2016-07-12	1.76	A	-0.96	A
USGS	0204288539	2016-07-13	1.47	A	-1.16	A
USGS	0204288539	2016-07-14	1.34	A	-1.12	A
USGS	0204288539	2016-07-15	1.73	A	-1.40	A
USGS	0204288539	2016-07-16	1.20	A	-1.87	A
USGS	0204288539	2016-07-17	1.55	A	-1.85	A
USGS	0204288539	2016-07-18	1.36	A	-1.96	A
USGS	0204288539	2016-07-19	1.41	A	-1.99	A
USGS	0204288539	2016-07-20	1.80	A	-1.96	A
USGS	0204288539	2016-07-21	1.76	A	-1.80	A
USGS	0204288539	2016-07-22	1.40	A	-2.20	A
USGS	0204288539	2016-07-23	1.51	A	-2.43	A
USGS	0204288539	2016-07-24	1.71	A	-2.20	A
USGS	0204288539	2016-07-25	1.82	A	-1.89	A
USGS	0204288539	2016-07-26	2.03	A	-2.04	A
USGS	0204288539	2016-07-27	2.02	A	-1.46	A
USGS	0204288539	2016-07-28	1.96	A	-1.26	A
USGS	0204288539	2016-07-29	2.16	A	-1.26	A
USGS	0204288539	2016-07-30	1.95	A	-1.49	A
USGS	0204288539	2016-07-31	2.26	A	-1.63	A
USGS	0204288539	2016-08-01	2.26	A	-1.85	A
USGS	0204288539	2016-08-02	2.54	A	-1.56	A
USGS	0204288539	2016-08-03	2.62	A	-1.05	A
USGS	0204288539	2016-08-04	2.41	A	-1.07	A
USGS	0204288539	2016-08-05	2.40	A	-1.36	A
USGS	0204288539	2016-08-06	1.81	A	-1.63	A
USGS	0204288539	2016-08-07	1.74	A	-1.43	A
USGS	0204288539	2016-08-08	1.66	A	-1.29	A
USGS	0204288539	2016-08-09	1.61	A	-1.00	A
USGS	0204288539	2016-08-10	1.16	A	-1.35	A
USGS	0204288539	2016-08-11	0.92	A	-1.74	A
USGS	0204288539	2016-08-12	0.75	A	-1.92	A
USGS	0204288539	2016-08-13	0.69	A	-1.83	A
USGS	0204288539	2016-08-14	1.08	A	-1.99	A
USGS	0204288539	2016-08-15	1.45	A	-1.64	A
USGS	0204288539	2016-08-16	1.38	A	-1.95	A
USGS	0204288539	2016-08-17	1.46	A	-2.25	A
USGS	0204288539	2016-08-18	1.81	A	-2.17	A
USGS	0204288539	2016-08-19	1.97	A	-2.00	A
USGS	0204288539	2016-08-20	2.18	A	-1.76	A
USGS	0204288539	2016-08-21	2.31	A	-1.65	A
USGS	0204288539	2016-08-22	2.46	A	-1.55	A
USGS	0204288539	2016-08-23	2.05	A	-1.56	A
USGS	0204288539	2016-08-24	1.90	A	-1.60	A
USGS	0204288539	2016-08-25	1.55	A	-1.95	A
USGS	0204288539	2016-08-26	1.44	A	-1.87	A
USGS	0204288539	2016-08-27	1.79	A	-1.57	A
USGS	0204288539	2016-08-28	2.23	A	-1.28	A
USGS	0204288539	2016-08-29	2.11	A	-1.21	A
USGS	0204288539	2016-08-30	2.08	A	-1.49	A
USGS	0204288539	2016-08-31	1.94	A	-1.57	A
USGS	0204288539	2016-09-01	2.17	A	-1.70	A
USGS	0204288539	2016-09-02	2.71	A	-1.11	A
USGS	0204288539	2016-09-03	4.99	A	1.26	A
USGS	0204288539	2016-09-04	3.95	A	0.12	A
USGS	0204288539	2016-09-05	3.14	A	-0.19	A
USGS	0204288539	2016-09-06	2.90	A	-0.33	A
USGS	0204288539	2016-09-07	2.51	A	-0.43	A
USGS	0204288539	2016-09-08	1.70	A	-0.88	A
USGS	0204288539	2016-09-09	1.38	A	-1.11	A
USGS	0204288539	2016-09-10	1.29	A	-1.29	A
USGS	0204288539	2016-09-11	1.79	A	-1.30	A
USGS	0204288539	2016-09-12	1.77	A	-1.09	A
USGS	0204288539	2016-09-13	1.83	A	-0.98	A
USGS	0204288539	2016-09-14	1.79	A	-1.56	A
USGS	0204288539	2016-09-15	2.90	A	-1.88	A
USGS	0204288539	2016-09-16	2.88	A	-1.01	A
USGS	0204288539	2016-09-17	2.69	A	-1.38	A
USGS	0204288539	2016-09-18	2.48	A	-1.68	A
USGS	0204288539	2016-09-19	2.36	A	-1.86	A
USGS	0204288539	2016-09-20	2.92	A	-0.77	A
USGS	0204288539	2016-09-21	3.57	A	1.74	A
USGS	0204288539	2016-09-22	3.00	A	0.18	A
USGS	0204288539	2016-09-23	2.43	A	-0.52	A
USGS	0204288539	2016-09-24	2.67	A	-0.73	A
USGS	0204288539	2016-09-25	2.37	A	-0.47	A
USGS	0204288539	2016-09-26	1.97	A	-0.97	A
USGS	0204288539	2016-09-27	2.14	A	-1.11	A
USGS	0204288539	2016-09-28	2.36	A	-1.07	A
USGS	0204288539	2016-09-29	3.59	A	-0.10	A
USGS	0204288539	2016-09-30	3.57	A	0.00	A
USGS	0204288539	2016-10-01	3.33	A	-0.22	A
USGS	0204288539	2016-10-02	2.87	A	-0.45	A
USGS	0204288539	2016-10-03	2.64	A	-0.65	A
USGS	0204288539	2016-10-04	2.73	A	-0.54	A
USGS	0204288539	2016-10-05	3.53	A	0.58	A
USGS	0204288539	2016-10-06	3.22	A	0.55	A
USGS	0204288539	2016-10-07	2.45	A	-0.05	A
USGS	0204288539	2016-10-08	2.00	A	-0.08	A
USGS	0204288539	2016-10-09	5.85	A	1.43	A
USGS	0204288539	2016-10-10	2.79	A	0.00	A
USGS	0204288539	2016-10-11	2.41	A	-0.15	A
USGS	0204288539	2016-10-12	2.34	A	-0.58	A
USGS	0204288539	2016-10-13	2.44	A	-0.85	A
USGS	0204288539	2016-10-14	2.85	A	-0.84	A
USGS	0204288539	2016-10-15	2.62	A	-1.20	A
USGS	0204288539	2016-10-16	2.73	A	-1.37	A
USGS	0204288539	2016-10-17	2.61	A	-1.58	A
USGS	0204288539	2016-10-18	2.46	A	-1.73	A
USGS	0204288539	2016-10-19	2.42	A	-1.74	A
USGS	0204288539	2016-10-20	2.41	A	-1.41	A
USGS	0204288539	2016-10-21	2.69	A	-0.82	A
USGS	0204288539	2016-10-22	2.54	A	-0.83	A
USGS	0204288539	2016-10-23	1.37	A	-1.74	A
USGS	0204288539	2016-10-24	0.86	A	-2.17	A
USGS	0204288539	2016-10-25	1.67	A	-1.39	A
USGS	0204288539	2016-10-26	1.56	A	-1.47	A
USGS	0204288539	2016-10-27	1.62	A	-1.53	A
USGS	0204288539	2016-10-28	2.29	A	-1.75	A
USGS	0204288539	2016-10-29	1.65	A	-1.59	A
USGS	0204288539	2016-10-30	1.57	A	-1.78	A
USGS	0204288539	2016-10-31	2.95	A	-1.43	A
USGS	0204288539	2016-11-01	2.19	A	-0.95	A
USGS	0204288539	2016-11-02	1.92	A	-1.23	A
USGS	0204288539	2016-11-03	1.71	A	-1.28	A
USGS	0204288539	2016-11-04	2.78	A	-0.72	A
USGS	0204288539	2016-11-05	2.18	A	-0.73	A
USGS	0204288539	2016-11-06	1.63	A	-0.93	A
USGS	0204288539	2016-11-07	2.07	A	-0.49	A
USGS	0204288539	2016-11-08	2.22	A	-0.61	A
USGS	0204288539	2016-11-09	2.15	A	-0.64	A
USGS	0204288539	2016-11-10	2.58	A	-0.31	A
USGS	0204288539	2016-11-11	2.01	A	-1.67	A
USGS	0204288539	2016-11-12	2.44	A	-1.57	A
USGS	0204288539	2016-11-13	1.92	A	-2.04	A
USGS	0204288539	2016-11-14	1.88	A	-2.22	A
USGS	0204288539	2016-11-15	2.41	A	-2.03	A
USGS	0204288539	2016-11-16	2.56	A	-1.90	A
USGS	0204288539	2016-11-17	2.37	A	-1.81	A
USGS	0204288539	2016-11-18	2.18	A	-1.74	A
USGS	0204288539	2016-11-19	2.26	A	-1.32	A
USGS	0204288539	2016-11-20	1.96	A	-1.77	A
USGS	0204288539	2016-11-21	0.27	A	-2.37	A
USGS	0204288539	2016-11-22	0.22	A	-2.36	A
USGS	0204288539	2016-11-23	0.60	A	-1.97	A
USGS	0204288539	2016-11-24	0.99	A	-1.57	A
USGS	0204288539	2016-11-25	1.43	A	-1.39	A
USGS	0204288539	2016-11-26	2.37	A	-1.22	A
USGS	0204288539	2016-11-27	1.61	A	-1.49	A
USGS	0204288539	2016-11-28	1.57	A	-1.66	A
USGS	0204288539	2016-11-29	1.43	A	-2.16	A
USGS	0204288539	2016-11-30	1.42	A	-2.02	A
USGS	0204288539	2016-12-01	1.84	A	-1.82	A
USGS	0204288539	2016-12-02	1.69	A	-1.82	A
USGS	0204288539	2016-12-03	1.42	A	-2.08	A
USGS	0204288539	2016-12-04	1.22	A	-1.79	A
USGS	0204288539	2016-12-05	2.16	A	-0.86	A
USGS	0204288539	2016-12-06	2.67	A	-0.53	A
USGS	0204288539	2016-12-07	2.39	A	-0.75	A
USGS	0204288539	2016-12-08	2.02	A	-1.12	A
USGS	0204288539	2016-12-09	2.07	A	-1.82	A
USGS	0204288539	2016-12-10	1.15	A	-2.02	A
USGS	0204288539	2016-12-11	1.51	A	-2.15	A
USGS	0204288539	2016-12-12	1.68	A	-2.25	A
USGS	0204288539	2016-12-13	2.12	A	-2.03	A
USGS	0204288539	2016-12-14	2.41	A	-1.83	A
USGS	0204288539	2016-12-15	2.70	A	-2.21	A
USGS	0204288539	2016-12-16	1.44	A	-2.32	A
USGS	0204288539	2016-12-17	0.87	A	-2.38	A
USGS	0204288539	2016-12-18	0.61	A	-2.32	A
USGS	0204288539	2016-12-19	1.63	A	-1.53	A
USGS	0204288539	2016-12-20	1.32	A	-1.41	A
USGS	0204288539	2016-12-21	1.26	A	-1.61	A
USGS	0204288539	2016-12-22	0.97	A	-1.69	A
USGS	0204288539	2016-12-23	1.04	A	-2.04	A
USGS	0204288539	2016-12-24	0.97	A	-1.46	A
USGS	0204288539	2016-12-25	1.03	A	-1.86	A
USGS	0204288539	2016-12-26	1.26	A	-1.85	A
USGS	0204288539	2016-12-27	1.06	A	-2.02	A
USGS	0204288539	2016-12-28	1.21	A	-1.90	A
USGS	0204288539	2016-12-29	1.67	A	-1.92	A
USGS	0204288539	2016-12-30	1.39	A	-1.96	A
USGS	0204288539	2016-12-31	0.83	A	-2.39	A
USGS	0204288539	2017-01-01	0.90	A	-2.39	A
USGS	0204288539	2017-01-02	1.73	A	-1.76	A
USGS	0204288539	2017-01-03	2.13	A	-0.90	A
USGS	0204288539	2017-01-04	2.16	A	-1.09	A
USGS	0204288539	2017-01-05	1.62	A	-2.09	A
USGS	0204288539	2017-01-06	1.45	A	-1.51	A
USGS	0204288539	2017-01-07	2.33	A	-0.99	A
USGS	0204288539	2017-01-08	1.96	A	-1.33	A
USGS	0204288539	2017-01-09	1.77	A	-2.05	A
USGS	0204288539	2017-01-10	1.43	A	-2.27	A
USGS	0204288539	2017-01-11	1.54	A	-2.13	A
USGS	0204288539	2017-01-12	1.05	A	-2.12	A
USGS	0204288539	2017-01-13	1.33	A	-2.25	A
USGS	0204288539	2017-01-14	1.76	A	-2.13	A
USGS	0204288539	2017-01-15	1.90	A	-2.02	A
USGS	0204288539	2017-01-16	1.34	A	-1.98	A
USGS	0204288539	2017-01-17	1.23	A	-1.93	A
USGS	0204288539	2017-01-18	1.28	A	-1.82	A
USGS	0204288539	2017-01-19	1.60	A	-0.79	A
USGS	0204288539	2017-01-20	1.77	A	-1.05	A
USGS	0204288539	2017-01-21	1.48	A	-0.95	A
USGS	0204288539	2017-01-22	1.79	A	-0.71	A
USGS	0204288539	2017-01-23	3.09	A	0.67	A
USGS	0204288539	2017-01-24	3.64	A	0.54	A
USGS	0204288539	2017-01-25	2.29	A	-0.74	A
USGS	0204288539	2017-01-26	1.68	A	-1.74	A
USGS	0204288539	2017-01-27	1.22	A	-1.99	A
USGS	0204288539	2017-01-28	0.64	A	-2.57	A
USGS	0204288539	2017-01-29	1.07	A	-2.57	A
USGS	0204288539	2017-01-30	1.48	A	-2.06	A
USGS	0204288539	2017-01-31	1.16	A	-2.34	A
USGS	0204288539	2017-02-01	1.53	A	-1.94	A
USGS	0204288539	2017-02-02	1.58	A	-1.90	A
USGS	0204288539	2017-02-03	1.69	A	-1.74	A
USGS	0204288539	2017-02-04	2.04	A	-2.34	A
USGS	0204288539	2017-02-05	0.73	A	-2.14	A
USGS	0204288539	2017-02-06	0.90	A	-2.53	A
USGS	0204288539	2017-02-07	0.79	A	-2.47	A
USGS	0204288539	2017-02-08	1.46	A	-2.50	A
USGS	0204288539	2017-02-09	2.86	A	-2.02	A
USGS	0204288539	2017-02-10	1.53	A	-2.54	A
USGS	0204288539	2017-02-11	1.04	A	-2.70	A
USGS	0204288539	2017-02-12	2.20	A	-2.47	A
USGS	0204288539	2017-02-13	2.50	A	-1.83	A
USGS	0204288539	2017-02-14	1.15	A	-2.06	A
USGS	0204288539	2017-02-15	2.29	A	-0.98	A
USGS	0204288539	2017-02-16	2.13	A	-1.32	A
USGS	0204288539	2017-02-17	1.14	A	-1.54	A
USGS	0204288539	2017-02-18	1.02	A	-1.64	A
USGS	0204288539	2017-02-19	0.72	A	-1.46	A
USGS	0204288539	2017-02-20	0.96	A	-1.40	A
USGS	0204288539	2017-02-21	1.12	A	-1.08	A
USGS	0204288539	2017-02-22	1.53	A	-1.19	A
USGS	0204288539	2017-02-23	1.52	A	-1.44	A
USGS	0204288539	2017-02-24	1.65	A	-1.66	A
USGS	0204288539	2017-02-25	2.13	A	-1.80	A
USGS	0204288539	2017-02-26	2.28	A	-1.64	A
USGS	0204288539	2017-02-27	1.34	A	-2.47	A
USGS	0204288539	2017-02-28	1.20	A	-2.51	A
USGS	0204288539	2017-03-01	0.76	A	-2.69	A
USGS	0204288539	2017-03-02	0.90	A	-2.40	A
USGS	0204288539	2017-03-03	0.78	A	-2.69	A
USGS	0204288539	2017-03-04	0.54	A	-2.53	A
USGS	0204288539	2017-03-05	0.98	A	-2.42	A
USGS	0204288539	2017-03-06	0.75	A	-2.07	A
USGS	0204288539	2017-03-07	1.04	A	-2.28	A
USGS	0204288539	2017-03-08	1.08	A	-2.04	A
USGS	0204288539	2017-03-09	0.90	A	-2.50	A
USGS	0204288539	2017-03-10	2.07	A	-2.69	A
USGS	0204288539	2017-03-11	1.72	A	-2.22	A
USGS	0204288539	2017-03-12	1.28	A	-2.57	A
USGS	0204288539	2017-03-13	1.53	A	-2.39	A
USGS	0204288539	2017-03-14	1.79	A	-2.05	A
USGS	0204288539	2017-03-15	1.93	A	-2.47	A
USGS	0204288539	2017-03-16	-0.02	A	-2.60	A
USGS	0204288539	2017-03-17	0.26	A	-2.58	A
USGS	0204288539	2017-03-18	0.36	A	-2.28	A
USGS	0204288539	2017-03-19	2.05	A	-0.61	A
USGS	0204288539	2017-03-20	1.83	A	-0.92	A
USGS	0204288539	2017-03-21	1.44	A	-0.66	A
USGS	0204288539	2017-03-22	1.31	A	-0.35	A
USGS	0204288539	2017-03-23	1.25	A	-1.46	A
USGS	0204288539	2017-03-24	0.64	A	-2.25	A
USGS	0204288539	2017-03-25	0.59	A	-2.68	A
USGS	0204288539	2017-03-26	1.67	A	-2.50	A
USGS	0204288539	2017-03-27	1.80	A	-2.01	A
USGS	0204288539	2017-03-28	2.07	A	-2.11	A
USGS	0204288539	2017-03-29	2.19	A	-1.77	A
USGS	0204288539	2017-03-30	2.03	A	-1.85	A
USGS	0204288539	2017-03-31	2.25	A	-1.82	A
USGS	0204288539	2017-04-01	2.67	A	-1.19	A
USGS	0204288539	2017-04-02	2.83	A	-1.32	A
USGS	0204288539	2017-04-03	2.04	A	-1.41	A
USGS	0204288539	2017-04-04	1.86	A	-1.09	A
USGS	0204288539	2017-04-05	2.27	A	-0.94	A
USGS	0204288539	2017-04-06	2.13	A	-1.39	A
USGS	0204288539	2017-04-07	2.31	A	-0.93	A
USGS	0204288539	2017-04-08	1.47	A	-1.73	A
USGS	0204288539	2017-04-09	1.61	A	-2.00	A
USGS	0204288539	2017-04-10	1.22	A	-2.07	A
USGS	0204288539	2017-04-11	1.19	A	-2.34	A
USGS	0204288539	2017-04-12	1.32	A	-2.38	A
USGS	0204288539	2017-04-13	1.46	A	-1.96	A
USGS	0204288539	2017-04-14	1.53	A	-1.81	A
USGS	0204288539	2017-04-15	1.52	A	-1.65	A
USGS	0204288539	2017-04-16	1.09	A	-2.11	A
USGS	0204288539	2017-04-17	0.72	A	-2.06	A
USGS	0204288539	2017-04-18	1.18	A	-1.16	A
USGS	0204288539	2017-04-19	1.50	A	-1.00	A
USGS	0204288539	2017-04-20	1.43	A	-1.05	A
USGS	0204288539	2017-04-21	1.32	A	-1.15	A
USGS	0204288539	2017-04-22	2.63	A	-0.94	A
USGS	0204288539	2017-04-23	2.52	A	-0.91	A
USGS	0204288539	2017-04-24	2.99	A	-0.81	A
USGS	0204288539	2017-04-25	3.36	A	-1.02	A
USGS	0204288539	2017-04-26	2.72	A	-1.40	A
USGS	0204288539	2017-04-27	2.35	A	-1.94	A
USGS	0204288539	2017-04-28	1.78	A	-2.15	A
USGS	0204288539	2017-04-29	2.03	A	-2.37	A
USGS	0204288539	2017-04-30	1.62	A	-2.24	A
USGS	0204288539	2017-05-01	1.49	A	-2.18	A
USGS	0204288539	2017-05-02	1.11	A	-1.94	A
USGS	0204288539	2017-05-03	1.54	A	-1.70	A
USGS	0204288539	2017-05-04	1.59	A	-1.60	A
USGS	0204288539	2017-05-05	2.21	A	-1.32	A
USGS	0204288539	2017-05-06	2.15	A	-1.38	A
USGS	0204288539	2017-05-07	1.65	A	-1.41	A
USGS	0204288539	2017-05-08	1.79	A	-1.49	A
USGS	0204288539	2017-05-09	1.83	A	-1.77	A
USGS	0204288539	2017-05-10	2.10	A	-1.58	A
USGS	0204288539	2017-05-11	3.00	A	-1.31	A
USGS	0204288539	2017-05-12	2.55	A	-0.56	A
USGS	0204288539	2017-05-13	3.25	A	-0.29	A
USGS	0204288539	2017-05-14	2.53	A	-0.63	A
USGS	0204288539	2017-05-15	2.32	A	-1.00	A
USGS	0204288539	2017-05-16	1.56	A	-1.25	A
USGS	0204288539	2017-05-17	1.53	A	-1.12	A
USGS	0204288539	2017-05-18	1.21	A	-1.54	A
USGS	0204288539	2017-05-19	0.83	A	-1.80	A
USGS	0204288539	2017-05-20	2.06	A	-1.37	A
USGS	0204288539	2017-05-21	2.06	A	-0.94	A
USGS	0204288539	2017-05-22	2.34	A	-1.44	A
USGS	0204288539	2017-05-23	2.86	A	-1.52	A
USGS	0204288539	2017-05-24	3.13	A	-1.11	A
USGS	0204288539	2017-05-25	2.93	A	-0.97	A
USGS	0204288539	2017-05-26	2.72	A	-1.48	A
USGS	0204288539	2017-05-27	2.16	A	-1.59	A
USGS	0204288539	2017-05-28	2.83	A	-1.24	A
USGS	0204288539	2017-05-29	2.98	A	-0.88	A
USGS	0204288539	2017-05-30	2.75	A	-0.68	A
USGS	0204288539	2017-05-31	2.51	A	-1.15	A
USGS	0204288539	2017-06-01	1.89	A	-1.07	A
USGS	0204288539	2017-06-02	1.78	A	-1.23	A
USGS	0204288539	2017-06-03	1.76	A	-1.36	A
USGS	0204288539	2017-06-04	1.64	A	-1.39	A
USGS	0204288539	2017-06-05	2.22	A	-1.73	A
USGS	0204288539	2017-06-06	2.42	A	-0.90	A
USGS	0204288539	2017-06-07				
USGS	0204288539	2017-06-08	2.83	A	-0.13	A
USGS	0204288539	2017-06-09	2.06	A	-0.82	A
USGS	0204288539	2017-06-10	1.45	A	-1.56	A
USGS	0204288539	2017-06-11	1.31	A	-1.91	A
USGS	0204288539	2017-06-12	1.14	A	-2.01	A
